,tweets,sentiments
132,pastanoodlesdeal awesome deal 🔥🔥 price maggi 2minute instant noodles masala 840g pack 12 x 70g,slightly positive
237,happy birthday maggi super happy met jimmys coffee 2 years ago im glad see,positive
248,maybe im ajinomoto maybe maggi ckup rasa🤣,neutral
275,blessing timeline maggi goreng,neutral
849,rt trump biden doesnt matter pidilite would continue sell fevicol nestle would continue sell maggi itc would conti…,neutral
349,sound sso disgusting love maggi tealivechatime whatever hell nightmare nuh uh im even gon na try,slightly positive
520,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
316,experiment want maggi nothing beats plain masala maggi,neutral
301,rt stand moment matters moment leadership decency constitutional norms matter character matte…,neutral
825,rt devi bachpan initiative dularidevifounation open forum kids lets enter maggi ki duni…,neutral
876,add various ketchup sauce maggi tastes good ingatkan nak letak milo im sweet things tonight,neutral
623,rt name nivida ramteke pronouns sheher bday 147 fav c…,neutral
190,youre maggi cant make everyone happy,positive
274,dont want eat cheese maggi,neutral
524,ask mom make maggi ’ 70 sbzi 30 maggi,neutral
893,rt trump biden doesnt matter pidilite would continue sell fevicol nestle would continue sell maggi itc would conti…,neutral
947,g quite street food made home family happy even maggi sauce,positive
127,go sub type maggi road 1k,neutral
345,rt aderinsola picture ’ go far first time posted ’ reposting nigeria 🤟,slightly positive
613,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
220,1 speaks forgot add onions maggi slippers wrapper,neutral
931,azeem made maggi…,neutral
644,rt vminies wait surprise,neutral
290,eat maggi sad,neutral
692,rt started hiring thugs pose protesters e go work endsars,neutral
543,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
594,good funny,slightly positive
250,series events little fight mom girls like cook maggi self moments later,negative
12,rt punit series events little fight mom girls like cook maggi self moments later,negative
191,someone stole heart,neutral
910,unable achieve basic comprehension cook adding maggi inside tweets,neutral
707,h101,neutral
209,mowatt miranda okayyyyy 😍,neutral
809,rt making maggi 1am someone make stop,neutral
38,mayor suarez daniel ubeda,neutral
593,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
101,eat maggi hm,neutral
74,rt cheese n toast upgrade toast gt cheese gt pepperoni gt diced tomatoes gt onion gt cheese topped honey mus…,neutral
55,even beyond appalled point freaking massacre going lekki toll gate,neutral
607,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
679,sorry😁,neutral
94,tw food ate two packs chicken maggi think im gon na puke,neutral
793,jagss royco keh maggi still dey😂😂😂😂,neutral
427,rt club meetings tadka maggi would define us better anatomy ssmcb lifeatssmc ssmcians mba htt…,positive
858,rt trump biden doesnt matter pidilite would continue sell fevicol nestle would continue sell maggi itc would conti…,neutral
201,miranda hoping real,neutral
381,anyway maggi tomyam gtgtgtgtgtgt,neutral
792,rt devi bachpan initiative dularidevifounation open forum kids lets enter maggi ki duni…,neutral
617,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
71,rt cheese n toast upgrade toast gt cheese gt pepperoni gt diced tomatoes gt onion gt cheese topped honey mus…,neutral
238,time watch run eat maggi yayyy,neutral
351,maggi soup stocks yes yummy,neutral
374,maybe maggi ’ know,neutral
226,hate maggi😔,negative
50,maggi biryani one thing ’ ever want try,neutral
953,rt devi bachpan initiative dularidevifounation open forum kids lets enter maggi ki duni…,neutral
462,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
525,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
422,watch eating maggi everyday,negative
629,eat maggi mee two months😆,neutral
113,bowl sure feel maggi gets cold plate quicker eat bowl,negative
579,thats costly yaar🏃‍♀ maggi sasta ill add mozzarella cheese u😔,neutral
42,tweets1 today monumental day history apparently 7 years ago today,slightly positive
590,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
273,rt trump biden doesnt matter pidilite would continue sell fevicol nestle would continue sell maggi itc would conti…,neutral
387,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
612,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
675,lekka fuck maggi go tekan good view shit done 😂,positive
820,rt trump biden doesnt matter pidilite would continue sell fevicol nestle would continue sell maggi itc would conti…,neutral
408,maggi kari extra pedas sounds good also 😭,positive
853,rt juju really audacity get 3 fantasy points post,slightly positive
816,happy birthday maggi world better ❤️,positive
330,wha ofc arent extensions lol best,positive
685,name nivida ramteke pronouns sheher bday 1,neutral
602,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
924,top ramengtgtgtgtgtgtgtmaggi,slightly positive
133,add maggi salt ph,neutral
6,every night told want responsible productive man starting tomorrow contem,neutral
41,rt lekki toll gate light switched nigerian army shooting harmless protesters let recor…,neutral
586,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
925,rt mowatt honor girlfriendsonnetflix literally called two girlfriends miranda talked extensively abo…,neutral
972,✨overthinker✨,neutral
806,cheese flavoured maggi fr,neutral
536,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
311,rt one criticisms ’ faced years ’ aggressive enough assertive enough maybe someho…,slightly positive
862,rt trump biden doesnt matter pidilite would continue sell fevicol nestle would continue sell maggi itc would conti…,neutral
573,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
483,deal price 15300 discount 2700 15,neutral
927,g need know maggi sauce plays ive seen stores know,neutral
222,hate maggi masala yippie gtgtgtgt,negative
992,rt fridayfeeling barely believe mary finally coming newington green tuesday 10th november mag…,negative
400,bringing 2 packets maggi younger sibling,neutral
634,u served well u even add maggi soup,neutral
896,craving maggi kari well,neutral
682,rt devi bachpan initiative dularidevifounation open forum kids lets enter maggi ki duni…,neutral
165,poor man wey steal maggi dehm go show face crime fighter rich man wey steal money dey see f,negative
917,wai wai raj kumar rao maggi varun dhawan sorry ’ make rules,neutral
110,rt would give treats 👻 digitdax ig,neutral
741,regret bringing enough maggi,neutral
832,rt naan burnt maggi everyday discover new ways disappoint,negative
994,fuck soupy maggi homies dry maggi,neutral
765,think ive maggi noodle packs cups thought okay sucks hear,slightly positive
288,tf makes maggi 30 mins 😭,neutral
852,phil jones na back 3 linda baily shaw na sadly go miss maggi😔 hes ap,neutral
703,rt residents enjoyed bubble wrap artwork orchard pointe,negative
750,maggi right,slightly positive
257,please look pahadi maggi super yummy divyakankitchen krish,neutral
158,rt pata poor man wey steal maggi dehm go show face crime fighter rich man wey steal money dey see face for…,negative
711,rt fact mtv held content long jail,neutral
517,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
984,rt kind important right many times people need brilliant mind speaks sp…,slightly positive
886,nestle maggi yeos wateva yall need sell microwaveable instant rice market us wants eat,neutral
961,😭😭😭😭,neutral
